sex,age,treatment,voted,person_id,hh_size,social_pressure_continuous,social_pressure_categorical,voted2,treatment2
"female",56,"Control","Yes",92333,2,3.209487,3,1,0
"male",,"Control","No",123065,2,3.494793,3,0,0
"female",39,"Control","No",139855,3,.2771714,0,0,0
"male",63,"Control","No",11419,2,2.11881,2,0,0
"male",69,"Control","No",59835,2,.6675178,1,0,0
"female",44,"Control","No",123517,2,2.459721,2,0,0
"male",49,"Control","Yes",92897,4,2.998447,3,1,0
"female",78,"Control","No",106066,2,1.753621,2,0,0
"female",52,"Control","No",105128,2,1.601598,2,0,0
"male",33,"Control","Yes",39255,2,2.366608,2,1,0
"male",78,"Control","Yes",27644,2,2.811103,3,1,0
".",86,"Control","No",109329,1,1.445008,1,0,0
"female",62,"Control","No",73154,2,2.953312,3,0,0
"male",44,"Control","No",131734,2,2.152912,2,0,0
"female",49,"Control","No",22064,2,.5804288,1,0,0
"female",55,"Control","No",125830,4,.9262296,1,0,0
"female",37,"Control","No",30447,2,1.998534,2,0,0
"female",51,"Control","No",112438,2,1.179808,1,0,0
"male",47,"Control","Yes",73229,2,5,5,1,0
"female",,"Control","No",172357,2,1.831625,2,0,0
"female",49,"Control","No",21756,2,1.433139,1,0,0
"female",,"Control","No",171366,2,1.20428,1,0,0
"female",43,"Control","No",64552,3,1.232778,1,0,0
"female",59,"Control","No",175234,2,1.23345,1,0,0
"male",49,"Control","Yes",79348,2,4.308608,4,1,0
"male",54,"Control","No",72228,2,2.675678,3,0,0
"female",30,"Control","Yes",12397,2,4.227895,4,1,0
"male",57,"Control","Yes",168203,2,1.855561,2,1,0
"male",55,"Control","No",148257,2,3.606394,4,0,0
"male",52,"Control","Yes",10880,2,3.978458,4,1,0
".",56,"Control","No",130050,2,2.573869,3,0,0
"male",35,"Control","No",139540,2,1.178683,1,0,0
".",46,"Control","No",167915,2,0,0,0,0
"male",20,"Control","No",2880,3,.7624986,1,0,0
"female",38,"Control","Yes",51578,2,3.617896,4,1,0
"male",54,"Control","No",37869,5,.753954,1,0,0
"male",72,"Control","Yes",78526,2,5,5,1,0
"female",,"Control","No",163345,2,3.051878,3,0,0
"female",53,"Control","No",103985,2,1.360842,1,0,0
"male",42,"Control","No",164850,2,2.337504,2,0,0
"male",53,"Control","Yes",104322,4,2.404146,2,1,0
"male",70,"Control","No",21874,2,2.316715,2,0,0
"female",,"Control","No",132612,2,3.106383,3,0,0
"female",49,"Control","No",93173,2,2.206917,2,0,0
"female",58,"Control","Yes",27407,2,1.976736,2,1,0
".",48,"Control","No",43556,2,1.590091,2,0,0
"male",41,"Control","No",87951,3,1.833765,2,0,0
"male",59,"Control","No",112338,4,1.256561,1,0,0
"female",46,"Control","Yes",25063,2,1.310609,1,1,0
"female",79,"Control","No",131916,1,.4498106,0,0,0
"female",22,"Control","No",57003,3,.1754399,0,0,0
".",72,"Control","Yes",62801,1,3.061264,3,1,0
"female",39,"Control","No",156402,2,1.027701,1,0,0
"male",57,"Control","No",169137,2,1.340346,1,0,0
"female",28,"Control","No",27537,1,2.398607,2,0,0
".",22,"Control","No",33656,2,.9919014,1,0,0
"female",41,"Control","Yes",14530,2,.391957,0,1,0
"female",58,"Control","No",47551,2,0,0,0,0
"male",54,"Control","Yes",112164,2,3.00649,3,1,0
"female",,"Control","No",10100,2,2.189142,2,0,0
"female",,"Control","No",37639,2,2.333157,2,0,0
"male",77,"Control","No",136780,2,2.556337,3,0,0
"female",58,"Control","No",67691,2,4.694196,5,0,0
"male",75,"Control","Yes",160487,2,3.73816,4,1,0
"male",22,"Control","No",86363,3,1.122832,1,0,0
"female",63,"Control","No",74489,2,1.238786,1,0,0
"male",67,"Control","Yes",81715,2,2.991462,3,1,0
".",23,"Control","No",98054,3,1.034814,1,0,0
"female",30,"Control","Yes",155434,2,2.562824,3,1,0
"female",58,"Control","Yes",159265,3,3.430481,3,1,0
"male",44,"Control","No",134167,2,1.370463,1,0,0
"male",54,"Control","No",26521,3,3.515129,4,0,0
"female",42,"Control","No",169801,1,1.227585,1,0,0
"female",33,"Control","No",161322,3,1.757482,2,0,0
"male",79,"Control","No",136816,2,3.318302,3,0,0
"male",24,"Control","No",58757,3,1.630292,2,0,0
"male",,"Control","No",50718,2,3.143847,3,0,0
".",58,"Control","Yes",124964,2,2.548777,3,1,0
"male",46,"Control","Yes",43327,2,4.699816,5,1,0
"female",80,"Control","No",159963,1,2.076613,2,0,0
"male",60,"Control","No",5278,2,0,0,0,0
"male",44,"Control","No",100455,2,3.105137,3,0,0
"female",21,"Control","No",168561,4,3.345932,3,0,0
".",,"Control","No",136565,2,0,0,0,0
".",54,"Control","No",166090,3,2.759871,3,0,0
"female",23,"Control","No",69687,3,2.213254,2,0,0
"female",34,"Control","No",167522,1,3.364271,3,0,0
"female",44,"Control","No",40252,2,2.567867,3,0,0
"male",,"Control","No",89805,2,1.884445,2,0,0
"female",,"Control","Yes",155678,2,2.19463,2,1,0
"male",42,"Control","Yes",37914,2,1.45991,1,1,0
"female",26,"Control","No",76255,2,2.438341,2,0,0
"male",47,"Control","Yes",102254,1,3.886188,4,1,0
"male",32,"Control","No",20754,2,4.39746,4,0,0
"female",49,"Control","Yes",53287,2,2.467992,2,1,0
"male",,"Control","No",132863,1,2.629156,3,0,0
"female",41,"Control","Yes",33696,2,4.144876,4,1,0
"female",47,"Control","No",44286,2,3.062279,3,0,0
"female",47,"Control","Yes",19771,2,2.11168,2,1,0
"female",48,"Control","No",88504,2,3.072353,3,0,0
"male",39,"Control","No",119492,2,2.022904,2,0,0
"male",63,"Control","No",169574,1,2.281952,2,0,0
".",48,"Control","Yes",156729,1,4.079076,4,1,0
"male",67,"Control","Yes",136649,3,2.687165,3,1,0
".",53,"Control","No",43298,2,1.683725,2,0,0
"male",,"Control","Yes",164694,2,2.720128,3,1,0
"female",75,"Control","Yes",57714,2,3.465874,3,1,0
"male",52,"Control","No",148996,3,1.117354,1,0,0
".",,"Control","No",89146,4,1.369597,1,0,0
"female",45,"Control","No",46846,2,1.52411,2,0,0
"male",37,"Control","No",74465,2,2.1984,2,0,0
"male",63,"Control","Yes",72264,3,1.407715,1,1,0
".",30,"Control","Yes",120143,2,3.973353,4,1,0
"male",40,"Control","No",17301,2,2.228503,2,0,0
"male",48,"Control","Yes",42608,3,3.919446,4,1,0
"female",59,"Control","Yes",11158,1,2.911396,3,1,0
"female",45,"Control","No",100340,2,0,0,0,0
"female",59,"Control","Yes",113441,1,5,5,1,0
"female",76,"Control","Yes",58722,2,2.274743,2,1,0
"male",40,"Control","No",145453,2,2.328513,2,0,0
"male",44,"Control","No",96267,2,2.240084,2,0,0
"female",55,"Control","No",49726,3,1.944724,2,0,0
"male",63,"Control","No",177652,4,1.095773,1,0,0
"male",68,"Control","Yes",120099,2,3.952556,4,1,0
"male",22,"Control","No",151544,3,1.101105,1,0,0
"female",36,"Control","No",33557,2,2.249997,2,0,0
"female",64,"Control","No",175555,2,2.360119,2,0,0
"female",44,"Control","Yes",110639,2,2.906375,3,1,0
"female",74,"Control","No",167551,1,.6860963,1,0,0
"male",20,"Control","No",89568,3,4.677049,5,0,0
"female",50,"Control","Yes",13252,3,3.698332,4,1,0
"female",51,"Control","No",24928,3,3.60821,4,0,0
".",61,"Control","No",154764,2,1.594255,2,0,0
"female",59,"Control","No",53726,2,4.29866,4,0,0
"male",22,"Control","No",148946,6,0,0,0,0
"female",43,"Control","No",176501,1,1.071674,1,0,0
"female",41,"Control","No",179292,2,1.530639,2,0,0
"female",35,"Control","No",8049,2,1.580528,2,0,0
"female",66,"Control","Yes",167087,2,5,5,1,0
"male",36,"Control","Yes",141032,2,3.182941,3,1,0
"female",73,"Control","No",121513,2,1.366789,1,0,0
".",78,"Control","No",1740,1,2.296373,2,0,0
"male",43,"Control","No",163798,2,3.399518,3,0,0
"male",40,"Control","No",39634,2,2.44265,2,0,0
"male",,"Control","No",141645,2,1.81992,2,0,0
"male",38,"Control","Yes",159366,2,4.933378,5,1,0
"female",62,"Control","Yes",175612,2,2.667143,3,1,0
"male",23,"Control","Yes",41848,3,2.594266,3,1,0
"female",41,"Control","No",78651,2,.5262935,1,0,0
"female",29,"Control","No",88344,4,2.379066,2,0,0
"male",54,"Control","No",134355,2,3.276254,3,0,0
".",20,"Control","No",35861,3,3.225087,3,0,0
"female",53,"Control","No",138123,2,.3165047,0,0,0
"male",47,"Control","Yes",146615,2,4.024793,4,1,0
".",,"Control","Yes",42742,1,3.80858,4,1,0
"male",48,"Control","No",117073,1,1.136964,1,0,0
"male",80,"Control","Yes",22145,1,4.744438,5,1,0
"female",49,"Control","Yes",126618,3,3.499534,3,1,0
"male",43,"Control","Yes",20256,2,1.795285,2,1,0
"male",67,"Control","Yes",95391,2,2.282338,2,1,0
"male",49,"Control","No",142515,2,2.910112,3,0,0
"male",60,"Control","No",144460,2,.8315439,1,0,0
".",62,"Control","No",161961,2,1.018738,1,0,0
"female",38,"Control","No",49431,2,1.601814,2,0,0
"female",46,"Control","Yes",41765,2,1.781572,2,1,0
".",43,"Control","No",164428,3,4.140139,4,0,0
"female",35,"Control","No",45533,2,1.65578,2,0,0
"female",21,"Control","No",81519,3,.7013721,1,0,0
"female",29,"Control","No",103156,3,2.635617,3,0,0
"male",32,"Control","No",84570,2,.070579,0,0,0
"female",28,"Control","No",50576,2,1.408149,1,0,0
"female",27,"Control","No",160263,3,1.456932,1,0,0
"male",45,"Control","No",90861,2,3.913347,4,0,0
"female",,"Control","No",108632,2,2.550802,3,0,0
"male",64,"Control","Yes",80624,2,2.962726,3,1,0
".",46,"Control","No",104100,2,3.027722,3,0,0
"male",75,"Control","No",142769,2,1.562619,2,0,0
"male",45,"Control","No",143369,2,2.979919,3,0,0
"male",24,"Control","No",13815,3,2.637459,3,0,0
"female",63,"Control","Yes",38121,2,4.420414,4,1,0
"male",49,"Control","No",90199,1,2.084392,2,0,0
"female",46,"Control","No",26153,3,2.701073,3,0,0
"male",,"Control","Yes",8362,3,5,5,1,0
"female",37,"Control","No",18518,2,4.490571,4,0,0
"female",35,"Control","Yes",116305,2,3.009284,3,1,0
"male",52,"Control","Yes",109204,3,3.254229,3,1,0
"male",46,"Control","No",136069,2,1.403878,1,0,0
"male",45,"Control","Yes",28763,3,4.375276,4,1,0
"male",43,"Control","Yes",153383,2,1.364541,1,1,0
"female",55,"Control","No",30992,3,1.301293,1,0,0
"female",40,"Control","No",131355,2,1.189658,1,0,0
".",,"Control","No",38635,2,3.176543,3,0,0
"male",58,"Control","No",71575,2,2.130376,2,0,0
"female",41,"Control","No",131696,2,1.923048,2,0,0
"male",41,"Control","No",129790,2,3.90602,4,0,0
"male",62,"Control","No",64258,2,1.122522,1,0,0
"female",47,"Control","No",50478,2,3.038217,3,0,0
".",28,"Control","Yes",71165,3,2.63389,3,1,0
"male",58,"Control","No",38590,2,1.301756,1,0,0
"female",52,"Control","No",21868,5,2.047704,2,0,0
"male",23,"Control","No",240,5,2.892194,3,0,0
"male",69,"Control","No",116341,1,2.279938,2,0,0
"male",47,"Control","No",20497,2,1.317552,1,0,0
"male",31,"Control","Yes",70073,1,3.929656,4,1,0
"female",63,"Control","Yes",66729,2,4.669138,5,1,0
"female",45,"Control","No",61563,3,1.059948,1,0,0
"male",47,"Control","No",35971,1,4.232495,4,0,0
"female",53,"Control","No",122732,3,1.781178,2,0,0
"female",38,"Control","No",166105,2,4.008455,4,0,0
"male",53,"Control","No",160637,3,2.672753,3,0,0
"male",68,"Control","No",4233,3,3.627738,4,0,0
"female",27,"Control","No",119247,4,4.543678,5,0,0
"male",,"Control","No",57345,2,.9623622,1,0,0
"female",44,"Control","No",30399,2,2.795885,3,0,0
"female",39,"Control","Yes",39305,2,2.238343,2,1,0
"male",62,"Control","Yes",166961,1,3.059098,3,1,0
"female",,"Control","No",119731,2,2.975583,3,0,0
"female",54,"Control","No",170793,2,.5205603,1,0,0
"male",56,"Control","No",39937,3,1.768511,2,0,0
"female",59,"Control","Yes",139190,3,5,5,1,0
"male",44,"Control","No",38581,2,2.26069,2,0,0
"female",69,"Control","Yes",81872,1,4.476109,4,1,0
"male",29,"Control","No",71182,2,2.5962,3,0,0
"male",50,"Control","No",143742,2,1.450306,1,0,0
"female",73,"Control","Yes",156116,1,4.112044,4,1,0
"female",49,"Control","No",166528,2,1.379593,1,0,0
"male",60,"Control","No",71318,2,1.081977,1,0,0
"male",64,"Control","No",92223,1,2.073181,2,0,0
"male",58,"Control","No",110424,2,.9052253,1,0,0
"female",,"Control","No",95377,5,.9118366,1,0,0
"female",49,"Control","No",117903,2,3.059555,3,0,0
"female",79,"Control","No",118234,2,1.879929,2,0,0
"female",22,"Control","Yes",133686,3,3.506025,4,1,0
"female",42,"Control","Yes",90075,2,3.708318,4,1,0
".",68,"Control","No",38814,2,1.266747,1,0,0
"female",48,"Control","No",159699,2,1.07909,1,0,0
".",62,"Control","Yes",153320,2,2.362396,2,1,0
"female",47,"Control","No",26247,2,.8954766,1,0,0
"female",74,"Control","No",179063,1,.9667502,1,0,0
"male",42,"Control","No",7272,2,1.019116,1,0,0
"male",81,"Control","No",36853,1,.3425766,0,0,0
"male",39,"Control","Yes",82935,2,2.407448,2,1,0
"male",,"Control","Yes",36663,1,3.463079,3,1,0
"male",58,"Control","No",177189,3,1.261655,1,0,0
"male",46,"Control","No",50147,2,.7451107,1,0,0
"female",48,"Control","No",143652,2,0,0,0,0
"male",49,"Control","Yes",129638,2,1.135787,1,1,0
".",,"Control","No",51077,2,4.534241,5,0,0
".",25,"Control","No",24367,4,1.502009,2,0,0
"female",45,"Control","No",102869,3,1.14233,1,0,0
"male",75,"Control","No",140009,2,1.196859,1,0,0
"male",41,"Control","No",38133,2,1.92991,2,0,0
".",55,"Control","Yes",22143,1,3.659688,4,1,0
"male",36,"Control","Yes",134996,1,3.093821,3,1,0
"male",45,"Control","Yes",87278,1,3.906272,4,1,0
"male",,"Control","Yes",106534,1,3.491878,3,1,0
".",60,"Control","No",42126,2,3.43875,3,0,0
"male",64,"Control","No",101656,2,1.798843,2,0,0
"female",25,"Control","No",157667,4,1.884401,2,0,0
"male",34,"Control","Yes",134180,2,3.963515,4,1,0
"female",23,"Control","No",132910,4,.2834802,0,0,0
"male",61,"Control","No",612,2,4.35936,4,0,0
"female",,"Control","No",12013,2,1.821367,2,0,0
"female",47,"Control","No",44752,2,.4438784,0,0,0
"male",53,"Control","No",29350,2,3.201183,3,0,0
"female",49,"Control","No",222,2,.7965524,1,0,0
"female",77,"Control","No",168389,3,3.078042,3,0,0
"female",62,"Control","No",127741,2,2.377998,2,0,0
"female",50,"Control","No",21926,2,2.362768,2,0,0
"female",,"Control","Yes",142176,2,.883993,1,1,0
"male",33,"Control","Yes",156779,2,3.408418,3,1,0
"female",50,"Control","Yes",76349,2,4.240905,4,1,0
"female",81,"Control","No",170071,2,0,0,0,0
"female",53,"Control","No",118291,2,1.75625,2,0,0
"male",44,"Control","Yes",125261,2,3.652811,4,1,0
"female",41,"Control","Yes",154644,4,1.87606,2,1,0
"female",41,"Control","No",100292,2,2.864763,3,0,0
"female",48,"Control","No",43511,2,2.401839,2,0,0
"female",68,"Control","No",151449,2,3.316479,3,0,0
"male",44,"Control","Yes",409,1,2.842804,3,1,0
"female",45,"Control","No",100522,1,.5918052,1,0,0
".",74,"Control","No",97347,2,1.081317,1,0,0
".",50,"Control","Yes",2200,3,2.419002,2,1,0
"male",44,"Control","Yes",70903,2,2.54403,3,1,0
"female",21,"Control","No",163826,3,1.347338,1,0,0
"female",43,"Control","Yes",59524,3,1.244089,1,1,0
"female",40,"Control","Yes",43130,2,2.876157,3,1,0
"female",,"Control","No",124280,2,1.311757,1,0,0
"female",,"Control","No",55723,2,.8935006,1,0,0
"male",58,"Control","No",167502,1,1.432981,1,0,0
"male",54,"Control","Yes",25274,2,4.646032,5,1,0
"female",55,"Control","Yes",110806,2,4.45671,4,1,0
".",63,"Control","No",54046,1,.9817371,1,0,0
"female",29,"Control","No",118972,1,2.947973,3,0,0
"female",74,"Control","No",83544,2,2.613872,3,0,0
"female",22,"Control","No",31867,3,1.702317,2,0,0
"female",53,"Control","No",9933,1,1.124837,1,0,0
"female",56,"Control","No",124233,5,0,0,0,0
"female",67,"Control","No",106783,1,.4503009,0,0,0
"male",47,"Control","Yes",55563,2,4.283072,4,1,0
"female",63,"Control","Yes",146157,1,3.581582,4,1,0
"male",82,"Control","Yes",2603,1,3.265508,3,1,0
"male",55,"Control","No",174243,2,1.912268,2,0,0
"female",60,"Control","No",157142,2,3.620992,4,0,0
"female",,"Control","No",113648,2,1.287708,1,0,0
".",43,"Control","Yes",39047,1,4.32569,4,1,0
"female",40,"Control","Yes",42697,2,5,5,1,0
"female",36,"Control","No",10271,2,3.070681,3,0,0
"male",68,"Control","No",96272,2,1.019933,1,0,0
"male",,"Control","No",150676,2,1.713733,2,0,0
".",,"Control","No",20305,4,2.484243,2,0,0
"female",24,"Control","No",20367,3,1.433364,1,0,0
"male",50,"Control","No",1915,2,1.487478,1,0,0
"male",62,"Control","Yes",132699,2,2.929977,3,1,0
"female",48,"Control","No",151752,3,2.129314,2,0,0
"female",59,"Control","No",140078,3,4.259623,4,0,0
"female",55,"Control","No",10127,1,2.831844,3,0,0
"male",31,"Control","No",6351,3,2.156574,2,0,0
"female",36,"Control","Yes",147063,2,3.116644,3,1,0
"female",85,"Control","Yes",178560,1,2.570647,3,1,0
"male",55,"Control","No",7504,2,4.5372,5,0,0
"female",56,"Control","Yes",86166,3,4.244255,4,1,0
".",62,"Control","No",135713,1,1.667995,2,0,0
"male",63,"Control","No",84857,2,3.726817,4,0,0
"female",66,"Control","No",141262,2,2.898817,3,0,0
"male",55,"Control","No",124709,2,2.005076,2,0,0
"female",23,"Control","No",145761,4,.5297403,1,0,0
"male",63,"Control","Yes",120572,2,2.389029,2,1,0
".",46,"Control","No",86919,5,1.176423,1,0,0
".",55,"Control","No",106350,1,3.086975,3,0,0
"male",51,"Control","No",124837,3,.330199,0,0,0
"female",63,"Control","No",150943,2,1.420245,1,0,0
"male",53,"Control","No",114185,2,1.346705,1,0,0
"female",40,"Control","No",175751,1,2.147764,2,0,0
".",59,"Control","No",61709,3,1.010311,1,0,0
"male",56,"Control","Yes",19050,1,3.136136,3,1,0
"male",21,"Control","Yes",59556,3,3.195467,3,1,0
"female",40,"Control","No",20176,2,.0999564,0,0,0
"female",78,"Control","No",103013,2,2.475992,2,0,0
"male",56,"Control","Yes",55907,4,2.760956,3,1,0
"male",36,"Control","No",164828,2,2.860292,3,0,0
"female",42,"Control","Yes",66640,2,1.907895,2,1,0
"male",46,"Control","Yes",112461,1,4.370146,4,1,0
"female",56,"Control","No",3795,2,2.812035,3,0,0
"female",74,"Control","No",62213,2,1.398837,1,0,0
"female",59,"Control","Yes",87565,2,5,5,1,0
"male",42,"Control","No",124010,2,1.445808,1,0,0
"female",63,"Control","No",33942,2,2.105811,2,0,0
"female",43,"Control","No",171997,2,.5895578,1,0,0
"male",45,"Control","No",161608,2,1.81074,2,0,0
"female",56,"Control","Yes",165896,4,3.767228,4,1,0
"male",42,"Control","No",93891,1,1.970359,2,0,0
"female",22,"Control","Yes",97868,2,2.080628,2,1,0
"female",42,"Control","No",9878,2,.4352339,0,0,0
"female",49,"Control","No",120231,2,.3612829,0,0,0
"female",38,"Control","No",83782,2,1.296225,1,0,0
"female",62,"Control","No",13136,1,.8407267,1,0,0
"male",49,"Control","No",1986,2,3.081757,3,0,0
"female",31,"Control","No",79748,3,3.091187,3,0,0
"male",48,"Control","Yes",88193,3,1.499217,1,1,0
"male",41,"Control","Yes",106975,1,2.403283,2,1,0
"female",40,"Control","No",111753,2,2.160843,2,0,0
"female",78,"Control","No",78030,1,2.814168,3,0,0
"male",69,"Control","No",59001,2,4.011878,4,0,0
"female",49,"Control","No",32539,2,3.124222,3,0,0
"male",52,"Control","No",20103,2,2.408142,2,0,0
"female",47,"Control","Yes",54015,2,1.924509,2,1,0
"male",56,"Control","No",112781,2,4.006055,4,0,0
"male",22,"Control","No",21385,2,1.169381,1,0,0
"female",32,"Control","No",173372,1,2.506373,3,0,0
"male",54,"Control","Yes",133310,5,3.557561,4,1,0
"male",43,"Control","No",159717,1,4.033696,4,0,0
"female",63,"Control","No",101954,2,3.478612,3,0,0
"female",21,"Control","Yes",63952,4,2.513564,3,1,0
"male",38,"Control","Yes",50676,2,3.153176,3,1,0
"female",,"Control","No",92432,3,2.56678,3,0,0
"male",51,"Control","Yes",177327,2,2.815996,3,1,0
"female",37,"Control","Yes",139102,2,3.430485,3,1,0
"female",49,"Control","No",3407,2,2.628414,3,0,0
"male",47,"Control","Yes",60613,2,3.099972,3,1,0
"male",49,"Control","No",97809,4,3.260176,3,0,0
"female",66,"Control","Yes",96198,2,2.517968,3,1,0
"female",66,"Control","Yes",78736,2,3.277096,3,1,0
"male",47,"Control","No",29115,3,3.855515,4,0,0
"female",93,"Control","Yes",96553,2,1.427167,1,1,0
"female",30,"Control","Yes",58422,1,4.393678,4,1,0
"female",76,"Control","No",119924,1,3.049514,3,0,0
".",60,"Control","No",131887,1,5,5,0,0
"female",42,"Control","No",27329,2,1.319092,1,0,0
"female",27,"Control","No",176820,2,3.883857,4,0,0
".",40,"Control","No",157132,2,4.542658,5,0,0
"male",,"Control","No",79647,2,4.11696,4,0,0
"female",40,"Control","No",141890,2,.7351506,1,0,0
"male",62,"Control","No",72178,2,1.677872,2,0,0
"female",43,"Control","No",61193,2,4.082964,4,0,0
"female",45,"Control","No",161320,1,2.508706,3,0,0
"female",44,"Control","No",89525,2,2.860308,3,0,0
"male",49,"Control","No",63350,2,1.763071,2,0,0
"male",34,"Control","No",106582,2,1.921403,2,0,0
"male",46,"Control","No",146867,3,1.021063,1,0,0
"male",38,"Control","No",68179,2,.7518352,1,0,0
"female",74,"Control","No",163800,1,2.714142,3,0,0
"male",58,"Control","No",97341,3,3.377332,3,0,0
"female",64,"Control","No",53454,2,2.948107,3,0,0
"female",31,"Control","No",60339,3,2.943533,3,0,0
"male",38,"Control","No",9911,2,3.141594,3,0,0
"male",61,"Control","Yes",3690,2,3.760987,4,1,0
"female",68,"Control","Yes",19864,2,3.457813,3,1,0
"female",57,"Control","Yes",11065,2,5,5,1,0
"female",,"Control","Yes",63523,2,2.455098,2,1,0
".",62,"Control","No",25732,2,1.634121,2,0,0
"female",43,"Control","No",54412,1,3.129768,3,0,0
".",38,"Control","Yes",179943,2,4.72666,5,1,0
"male",45,"Control","No",90168,2,1.039379,1,0,0
"female",70,"Control","Yes",117701,1,2.370238,2,1,0
"female",45,"Control","Yes",3839,2,4.44066,4,1,0
"male",49,"Control","No",82821,2,.9221232,1,0,0
"female",66,"Control","Yes",81021,2,1.960879,2,1,0
"male",40,"Control","No",4781,2,.2167834,0,0,0
"female",25,"Control","No",150536,3,1.371358,1,0,0
"female",37,"Control","No",165329,2,3.637868,4,0,0
".",,"Control","No",23053,2,4.421412,4,0,0
"male",63,"Control","No",117440,2,.8874125,1,0,0
"male",50,"Control","No",93306,2,2.765566,3,0,0
"male",,"Control","No",105683,2,1.809548,2,0,0
"male",,"Control","No",126755,3,3.8085,4,0,0
"female",32,"Control","No",2133,2,2.409807,2,0,0
"male",23,"Control","No",2580,4,4.251123,4,0,0
"male",33,"Control","No",31526,2,1.31346,1,0,0
"male",38,"Control","Yes",157165,2,1.854006,2,1,0
"male",48,"Control","No",38106,2,2.432116,2,0,0
".",52,"Control","No",5892,2,2.248779,2,0,0
"male",88,"Control","Yes",165976,1,3.36721,3,1,0
"female",59,"Control","Yes",65660,2,2.660831,3,1,0
"female",53,"Control","No",91970,4,.8894579,1,0,0
"male",61,"Control","No",62857,2,1.104978,1,0,0
"male",70,"Control","Yes",179981,1,1.428089,1,1,0
"female",58,"Control","No",7367,2,2.401212,2,0,0
"female",57,"Control","Yes",19416,2,2.481109,2,1,0
"female",,"Control","Yes",5777,2,2.55837,3,1,0
"female",35,"Control","Yes",78133,1,3.872432,4,1,0
"male",58,"Control","No",45954,3,2.462839,2,0,0
"female",,"Control","No",26073,2,1.190896,1,0,0
".",71,"Control","No",133331,2,1.228877,1,0,0
"male",22,"Control","No",26841,3,3.720574,4,0,0
"male",20,"Control","No",103609,3,.431172,0,0,0
"male",,"Control","Yes",158346,4,2.729438,3,1,0
"male",60,"Control","Yes",101634,2,1.777281,2,1,0
"female",52,"Control","No",164706,2,1.158249,1,0,0
"male",43,"Control","No",53152,2,.6918913,1,0,0
"male",53,"Control","No",174276,2,3.828493,4,0,0
"male",44,"Control","Yes",170381,1,5,5,1,0
"female",50,"Control","Yes",42894,3,4.481896,4,1,0
